cloud_account_id,cloud_device_id,is_indoor,is_public,latitude,longitude,mcpm10,mcpm10_aqi,mcpm1x0,mcpm2x5,mcpm2x5_aqi,mcpm4x0,model,ncpm0x5,ncpm10,ncpm1x0,ncpm2x5,ncpm4x0,rh,serial,temperature,timestamp,tpsize,time_delta
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,49,49,49,49,69,81432039072,11.4,2022-12-06 10:56:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,49,49,49,49,69,81432039072,11.3,2022-12-06 11:11:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,43,50,50,50,50,70,81432039072,11.2,2022-12-06 11:26:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,43,50,50,50,50,71,81432039072,11.2,2022-12-06 11:41:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,43,51,51,51,51,70,81432039072,11.3,2022-12-06 11:56:53+00:00,0.51,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,43,50,50,50,50,69,81432039072,11.6,2022-12-06 12:11:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,5,5,5,5,21,5,8143,42,50,49,50,50,69,81432039072,11.9,2022-12-06 12:26:53+00:00,0.49,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,44,52,52,52,52,68,81432039072,12.1,2022-12-06 12:41:53+00:00,0.48,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,6,6,25,6,8143,49,58,58,58,58,68,81432039072,12.3,2022-12-06 12:56:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,6,6,25,6,8143,47,55,55,55,55,67,81432039072,12.6,2022-12-06 13:11:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,5,6,25,6,8143,46,54,53,54,54,66,81432039072,13.0,2022-12-06 13:26:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,6,6,25,6,8143,47,56,56,56,56,65,81432039072,13.3,2022-12-06 13:41:53+00:00,0.5,15.0
c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,6,6,6,6,25,6,8143,48,57,56,57,57,64,81432039072,13.5,2022-12-06 13:56:53+00:00,0.51,15.0
